id,question_id,answer_type,single_correct,raw_correct,oracle_correct,equiv_correct,raw_vote_missed_oracle,equiv_recovers_raw,sc3_recovers_single,sc3_regresses_single,raw_selected_support,equiv_selected_support,raw_unique_count,equiv_cluster_count,gold,single_pred_answer,raw_selected_answer,equiv_selected_answer,pred_answers
17,18,number,False,False,False,False,False,False,False,False,2,3,2,1,\boxed{\frac{\sqrt{3}}{45}},\frac{1}{\sqrt{506}},\frac{2}{45},\frac{2}{45},"['\\frac{2}{45}', '\\frac{2}{45} \\cos\\frac{\\pi}{4050}', '\\frac{2}{45}']"
18,19,number,False,False,True,False,True,False,False,False,2,2,2,2,\boxed{666},703,703,703,"['666', '703', '703']"
19,20,number,False,True,True,True,False,False,True,False,3,3,1,1,\boxed{120},60,120,120,"['120', '120', '120']"
20,21,number,False,False,False,False,False,False,False,False,3,3,1,1,\boxed{230},104,104,104,"['104', '104', '104']"
21,22,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{\frac{208\cdot 3^{1/4}}{21}},2\sqrt{13},\sqrt{13},\sqrt{13},"['\\sqrt{13}', '\\sqrt{13}', '\\frac{343\\sqrt{3}}{9}']"
22,23,number,False,False,False,False,False,False,False,False,2,2,1,1,\boxed{-1},4,8,8,"['8', '8', None]"
27,28,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{42},21,21,21,"['21', '21', '0']"
28,29,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{\frac{21}{103}},\frac{1}{103},\frac{1}{103},\frac{1}{103},"['\\frac{1}{103}', '\\frac{1}{103}', '\\frac{1}{5}']"
29,30,number,False,False,True,False,True,False,False,False,1,1,3,3,\boxed{3736},3735,3737,3737,"['3737', '916', '3736']"
30,31,number,False,False,False,False,False,False,False,False,3,3,1,1,\boxed{2295},165,2175,2175,"['2175', '2175', '2175']"
31,32,number,False,False,False,False,False,False,False,False,0,0,0,0,\boxed{225},,,,"[None, None, None]"
32,33,number,False,False,False,False,False,False,False,False,3,3,1,1,\boxed{34},53,51,51,"['51', '51', '51']"
33,34,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{\frac{3(16+(\sqrt[3]{7+4\sqrt{3}}+\sqrt[3]{7-4\sqrt{3}}-1)^2)}{32(\sqrt[3]{7+4\sqrt{3}}+\sqrt[3]{7-4\sqrt{3}}-1)}},1,\frac{1}{4t_0} + \frac{3t_0}{4} + \frac{t_0^2}{2},\frac{1}{4t_0} + \frac{3t_0}{4} + \frac{t_0^2}{2},"['\\frac{1}{4t_0} + \\frac{3t_0}{4} + \\frac{t_0^2}{2}', '1', '0.9942']"
34,35,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{7657},4996,6000,6000,"['6000', '4', '6']"
35,36,number,False,False,True,False,True,False,False,False,2,2,2,2,\boxed{343},180,181,181,"['181', '181', '343']"
36,37,variable,False,False,False,False,False,False,False,False,1,2,3,2,\boxed{\frac{(a-b)(a-c)(b-c)}{8}\cdot \left( \frac{(a+b-c)(a-b+c)(-a+b+c)}{2abc-(a+b-c)(a-b+c)(-a+b+c)} \right)^3},\frac{8 \left( \frac{a+b+c}{2} \left( \frac{a+b+c}{2} - a \right) \left( \frac{a+b+c}{2} - b \right) \left( \frac{a+b+c}{2} - c \right) \right)^{3/2}}{a^2 b^2 c^2},\frac{abc}{a+b+c},\frac{(b+c-a)(c+a-b)(a+b-c)}{8},"['\\frac{abc}{a+b+c}', '\\frac{(b+c-a)(c+a-b)(a+b-c)}{8}', '\\frac{(a+b-c)(b+c-a)(c+a-b)}{8}']"
42,43,set,False,False,False,False,False,False,False,False,2,2,2,2,"\boxed{\{40, 64, 75, 100, 150\}}",\{\},\{\},\{\},"['\\{\\}', '\\{\\}', '\\{40, 75, 150\\}']"
43,44,number,False,False,False,False,False,False,False,False,3,3,1,1,\boxed{8281323},209774391786,209774391786,209774391786,"['209774391786', '209774391786', '209774391786']"
44,45,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{{2}^{2026}-1},2026,2026,2026,"['2026', '2026', '2025']"
46,47,number,False,False,False,False,False,False,False,False,2,2,1,1,\boxed{72},0,0,0,"['0', '0', None]"
47,48,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{30},26,26,26,"['26', '20', '25']"
48,49,number,False,True,True,True,False,False,True,False,1,1,2,2,$$ \boxed{16} $$,,16,16,"[None, '16', '145']"
49,50,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{180},,171,171,"['171', '66', '64']"
